portfolio,scenario,survival_rate,mean_final_value,median_final_value,std_final_value,min_final_value,max_final_value,percentile_5,percentile_25,percentile_75,percentile_95,mean_months_survived,mean_total_withdrawals,mean_total_rebalance_costs,mean_total_return,mean_total_contributions,mean_net_flow
cartera_1,base,40.81,23088.167261418086,0.0,49190.483793302534,0.0,722380.3681951185,0.0,0.0,25605.154517533825,117183.5931314481,106.1606,141823.7964407565,0.0054387321238126615,-76.91183273858191,10675.25,-131148.5464407565
cartera_1,optimistic,48.99,28369.653062448753,0.0,53181.535758379716,0.0,750314.8446248835,0.0,0.0,36737.9539397686,130283.55185759637,108.9412,139283.91491304833,0.0027252673479327867,-71.63034693755125,10945.13,-128338.78491304831
cartera_1,pessimistic,19.830000000000002,11301.715746443293,0.0,36570.156317258065,0.0,635207.2409097219,0.0,0.0,0.0,74494.84820764602,96.9608,145850.92293334,0.010082334151217438,-88.69828425355671,9776.25,-136074.67293334
cartera_2,base,41.52,14192.332040599596,0.0,26757.091287758423,0.0,328483.87274452223,0.0,0.0,18794.517924756325,69615.2048108459,108.6896,145371.25524138968,56.85699401736467,-85.8076679594004,10927.44,-134443.81524138968
cartera_2,optimistic,52.690000000000005,19280.379386226385,2345.981097398357,30406.34101472953,0.0,343364.89006483025,0.0,0.0,29431.96729955942,81796.96462425555,111.6446,142803.5605427972,29.72529405356646,-80.71962061377361,11211.77,-131591.7905427972
cartera_2,pessimistic,14.899999999999999,4406.919898649993,0.0,15660.507133015664,0.0,279871.22555567906,0.0,0.0,0.0,31736.17726930275,98.3406,148061.524880141,124.64661712854071,-95.59308010135003,9919.16,-138142.364880141
cartera_3,base,47.8,33104.50660757804,0.0,63404.62549808381,0.0,907732.7497448132,0.0,0.0,42251.967529957394,154398.2331872558,107.7296,144069.52578650857,0.007846560394758548,-66.89549339242195,10825.16,-133244.36578650857
cartera_3,optimistic,55.84,39301.93649073159,7528.94407860663,67493.88915257086,0.0,936895.0784294317,0.0,0.0,53854.10709809247,169245.08195708037,110.1912,140925.08472450927,0.004118621770499788,-60.698063509268415,11063.28,-129861.80472450929
cartera_3,pessimistic,27.26,18186.70827712717,0.0,49905.954584221916,0.0,813251.4452634965,0.0,0.0,4494.884345085302,109872.1038091764,99.3285,150162.2357116775,0.018475943197959855,-81.81329172287282,10005.59,-140156.6457116775
